Period;Serie;Värde
2020-10-13;1 AUD;6.3275
2020-10-13;1 BRL;1.5942
2020-10-13;1 CAD;6.7183
2020-10-13;100 CHF;968.1736
2020-10-13;1 CNY;1.3075
2020-10-13;100 CZK;38.097
2020-10-13;100 DKK;139.6322
2020-10-13;1 EUR;10.392
2020-10-13;1 GBP;11.4897
2020-10-13;1 HKD;1.1378
2020-10-13;100 HUF;2.9005
2020-10-13;100 IDR;0.0599
2020-10-13;100 INR;12.0229
2020-10-13;100 ISK;6.3758
2020-10-13;100 JPY;8.3648
2020-10-13;100 KRW;0.7683
2020-10-13;1 MAD;0.9576
2020-10-13;1 MXN;0.4139
2020-10-13;100 NOK;96.0565
2020-10-13;1 NZD;5.8604
2020-10-13;1 PLN;2.3233
2020-10-13;100 RUB;11.4021
2020-10-13;1 SAR;2.3496
2020-10-13;1 SGD;6.4871
2020-10-13;1 THB;0.2833
2020-10-13;1 TRY;1.1162
2020-10-13;1 USD;8.8187
2020-10-13;1 ZAR;0.5327
